title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Turen går til Bornholm,Kristoffer Holm Pedersen,Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter uden for københavn,54140258;39310651;51830458;29432058;27703011;26267749,99122917788205763;99122789351105763,10852,1313
Willi leger med lillesøster,Kirsten Sonne Harild,Billedbog,børnematerialer,skønlitteratur,51868773,,5103,1314
Stakkels Peddersen,Sven Nordqvist,Billedbog,børnematerialer,sjove bøger,07089910;06678769,99122294234405763,5437,1315
Hvor der er hjerterum,Sarah Morgan (f. 1948),Bog,voksenmaterialer,skønlitteratur,61591583,99123907976805763,5102,1316
Stemmen fra jorden,Inger Gammelgaard Madsen,Bog,voksenmaterialer,krimi,134013869,99124175415205763,5097,1317
Frie ord,Søren Pind,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",47054761,,5096,1318
Min i nat,Lisa Kleypas,Bog,voksenmaterialer,historiske romaner,38774859,99123745674905763,5095,1319
I dødens hænder,Trude Teige,Bog,voksenmaterialer,skønlitteratur,61745238,99124088465805763,5090,1320
Peter Pedal og pyjamasfesten,Monica Perez,Billedbog,børnematerialer,sjove bøger,53127223,,5089,1321
Strandlæsning,Emily Henry,Bog,voksenmaterialer,skønlitteratur,39048256;62388064,,5206,1322
Maleriets hemmelighed,Diane Chamberlain,Bog,voksenmaterialer,slægtsromaner,62905298,,5086,1323
"Turen går til Mallorca, Menorca & Ibiza",Jytte Flamsholt Christensen,Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter,48518311;53134203;51032349;28843828;27243207,99123440292305763;99122425372005763;99122083811505763,8430,1324
Løbende tjener,Dennis Jürgensen,Bog,voksenmaterialer,"krimi,politiromaner",51168127;54802110,,5098,1325
Pigerne fra Stjernedalen - og de gamle breve,Mille Gori,Bog,børnematerialer,skønlitteratur,38747584,99123734153505763,5079,1326
Alfons og hans hemmelige verden,Gunilla Bergström (f. 1942),Billedbog,børnematerialer,gys,46695763;48857434,99123480213805763,5082,1327
Vovserne redder byfesten,,Billedbog,børnematerialer,skønlitteratur,48663699,99124251903105763;99123486076705763,5077,1328
Malma station,Alex Schulman,Bog,voksenmaterialer,skønlitteratur,135470937;134025077;136262033,,5255,1329
Alfons leger med ord,,Billedbog,børnematerialer,skønlitteratur,29570299,,5069,1330
Byens spor. Bind 3,Lars Saabye Christensen (f. 1953),Bog,voksenmaterialer,"kollektivromaner,samfundsskildringer",47111536;48838847,99123532868005763__1,5188,1331
Pippi Langstrømpe,Astrid Lindgren,Billedbog,børnematerialer,"pegebøger,sjove bøger",47999596;27165931;47932602;27728677;24037339;05072980;20293942;24438716;06190812;01191217;51990080;49073399;04930126,99122326833805763;99122367948405763,8591,1332
Vovserne redder dino-ungerne,,Billedbog,børnematerialer,skønlitteratur,38892673,99123765337705763,5068,1333
Far og søn på ferie,Randi Solvang,Bog,børnematerialer,skønlitteratur,29130027,,5064,1334
Arvingen,Simona Ahrnstedt,Bog,voksenmaterialer,skønlitteratur,52439132;38998285;26596343;62947551;46295897;26584639;06814387;05191025;04103572;06407803,99122427939705763;99122522865005763;99122024644505763;99122612612105763;99122871420205763;99122760984405763;99122883906405763;99122787113505763;99122662048005763;99122584194605763;99122680372205763;99122701537705763;99122428348605763,6767,1335
Georg-komplekset,Kirsten Hammann,Bog,voksenmaterialer,humor,62926805,,5060,1336
Perledyr,Anja Takacs,Bog,"alment niveau,folkeskoleniveau,børnematerialer",øvrige grene af kunsthåndværket,53142494;23556693,99121976122405763,5430,1337
Åndemaneren,Lotte Petri,Bog,voksenmaterialer,krimi,47882451;53670946,,5207,1338
Et forførende tilbud,Tessa Dare,Bog,voksenmaterialer,historiske romaner,39022249,,5057,1339
Skakten,Lars Kjædegaard,Bog,voksenmaterialer,krimi,52232813;52883563;51000617,,5117,1340
Verdens 100 mest truede dyr,Sebastian Klein,Bog,"folkeskoleniveau,børnematerialer",økologi. biogeografi,38846736;62170158,,5843,1341
Grænseløs,Jørn Lier Horst,Bog,voksenmaterialer,skønlitteratur,62162732;39120755;29727139;136451332;22489062,99122416461905763,5395,1342
Vovserne redder Dristige Danny X,,Billedbog,børnematerialer,skønlitteratur,48163238,99123419295705763,5050,1343
Willi på bondegården,Kirsten Sonne Harild,Billedbog,børnematerialer,skønlitteratur,28240821,,5046,1344
Pottetræning på 3 dage,"Sofia Bergenstjerna,Michael Bergenstjerna",Bog,"alment niveau,voksenmaterialer",børne- og ungdomsopdragelse i alm.,39373017,,5046,1345
Gok-gok i køkkenhaven,Sven Nordqvist,Billedbog,børnematerialer,sjove bøger,07145586,,5037,1346
Nej! sagde Alfons Åberg,Gunilla Bergström (f. 1942),Billedbog,børnematerialer,skønlitteratur,20708182;25946170,,5072,1347
Eksploderende skadedyr,Dennis Jürgensen,Bog,voksenmaterialer,"krimi,politiromaner",54927126,99122137456605763,5037,1348
Den fjerde rytter,"Jeanette Varberg,Poul Duedahl",Bog,"alment niveau,voksenmaterialer",infektionssygdomme. epidemiske sygdomme i alm.,48836038;2596494,991001048516803861,5034,1349
Skyggen bag dig,Anna Jansson,Bog,voksenmaterialer,"krimi,politiromaner",61565396,,5026,1350
Turen går til Athen & græske fastland,Stig Vognæs,Bog,"alment niveau,voksenmaterialer",grækenland,46595793;52206782,99122581940505763;99122657862205763,6369,1351
Dårekisten,"Pernille Plaetner,Marianne Schjøtt Rohweder",Bog,voksenmaterialer,skønlitteratur,62042974,,5016,1352
Stephanie Mailers forsvinden,Joël Dicker,Bog,voksenmaterialer,krimi,47034353,,5014,1353
199 store maskiner,,Billedbog,"førskoleniveau,børnematerialer",transportmidler i alm.,47694116,,5012,1354
Sult,Tine Høeg (f. 1985),Bog,voksenmaterialer,skønlitteratur,62702613;50756521;61714359;54759665;38394657;135357251;22427040;20897546;01855557;52344441;47994691;44795787;29740224;06108938;2617881;05916070;44470535,99123640832705763;99122565203205763;99122918185105763;99122926327505763;99122708824605763;99122812729905763;99122256443905763;99122386859805763,7666,1355
Lær at sy,Johanne Kohlmetz,Bog,"alment niveau,voksenmaterialer",syning og tilskæring,39214008;51162471,99123812141905763,5622,1356
Villads fra Valby skyder en højder,Anne Sofie Hammer (f. 1972-02-05),Bog,børnematerialer,sjove bøger,38824252,,5006,1357
Underjordiske timer,Delphine de Vigan,Bog,voksenmaterialer,skønlitteratur,48685463,99123467937205763,5002,1358
Vovserne redder prinsessens venner,,Billedbog,børnematerialer,skønlitteratur,38892614,99123764640905763,4990,1359
Øens hemmeligheder,Kimberley Freeman,Bog,voksenmaterialer,slægtsromaner,52436117;38931237,,5044,1360
Skoven,Jane Harper,Bog,voksenmaterialer,krimi,54579446;48764061;62672943;53973922;27422004;27094201;134510242;23463164;23542129;29556776;06934560;136451421;136088971;04005449;05692504;04103661,99122616345105763;99122484662305763,12445,1361
I sandhedens navn,Viveca Sten,Bog,voksenmaterialer,"krimi,økonomisk kriminalitet",52983797;53918735,,5038,1362
Firefly Lane,Kristin Hannah,Bog,voksenmaterialer,skønlitteratur,39197081;38889974;44348349;61483861,,5082,1363
Samtaler med venner,Sally Rooney (f. 1991),Bog,voksenmaterialer,skønlitteratur,54098413;48364373,99123419310505763,5754,1364
De ustraffede,"Jeanette Øbro Gerlow,Ole Tornbjerg",Bog,voksenmaterialer,krimi,54479816,,4967,1365
Børnene er konger,Delphine de Vigan,Bog,voksenmaterialer,"dystopier,spænding",134136421,99124247813405763,4967,1366
Det mystiske bibliotek,Haruki Murakami,Bog,"børnematerialer,voksenmaterialer","eventyrlige fortællinger,magisk realisme",47162696,,4961,1367
Farlig forelskelse,Sara Ejersbo,Bog,børnematerialer,skønlitteratur,48302246;54996616;21829943,99122713746805763;99122183496805763,5412,1368
Turen går til Island,K. Torben Rasmussen,Bog,"alment niveau,voksenmaterialer",island,47917832;53119484;51079094;136139797;28604246;26786118,99122093570005763;99122101522605763,8266,1369
Ordtrolden,Maria Rørbæk,Billedbog,børnematerialer,sjove bøger,52676533,,4951,1370
Paw Patrol - find med Skye!,Emily Skwish,Billedbog,børnematerialer,gå på opdagelse,47052505,99122994045405763,4951,1371
Uden håb,Colleen Hoover,Bog,voksenmaterialer,skønlitteratur,54947968;48405193,99123440273505763;99122355522705763,5523,1372
Et atelier i Paris,Guillaume Musso,Bog,voksenmaterialer,spænding,54732740;47480566,99123305346705763,5040,1373
Døden løber maraton,Sofie Sarenbrant,Bog,voksenmaterialer,krimi,50694186;51287061,,5138,1374
Sommerfugl,Maria Helleberg,Bog,voksenmaterialer,historiske romaner,54953062;52815231;38339613;20781424;38921452,99122310049405763;99122281708205763,6495,1375
Roser & violer,Gry Kappel Jensen,Bog,"børnematerialer,voksenmaterialer",fantasy,46508092,,4936,1376
De døde og de ufødte,Jakob Melander,Bog,voksenmaterialer,krimi,53998380,99123419307305763,4933,1377
Babysitteren,Sofie Sarenbrant,Bog,voksenmaterialer,krimi,52163838;52680131;00168637,,5110,1378
De Hemmelige Youtubere,Maria Rørbæk,Bog,børnematerialer,skønlitteratur,46174453,99122113662605763,4931,1379
En skøn alder,Kiley Reid (f. 1984),Bog,voksenmaterialer,"diskrimination,samfundskritik",48801978,,4929,1380
Fortnite,Kevin Pettman,Bog,"folkeskoleniveau,børnematerialer",computerspil,45942791;46784456;46089979;54934254;54641133;39526751,,14610,1381
Spidey og hans fantastiske venner - med tredobbelt kraft,Ashley Mendoza,Billedbog,børnematerialer,skønlitteratur,62256931,,4926,1382
Højtryk og lavtryk,Meg Mason,Bog,voksenmaterialer,skønlitteratur,62000872,,4926,1383
Buller og potten,Mervi Lindman,Billedbog,børnematerialer,skønlitteratur,46036433,,4922,1384
Enhjørningedalen,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,50567974,99122115551705763,4921,1385
Når mænd forlader mig,Johanne Bille,Bog,voksenmaterialer,skønlitteratur,61933182;2717776,,4921,1386
Allerbedste Betty,Alberte Winding,Billedbog,børnematerialer,skønlitteratur,54073992,99122785235505763,4919,1387
Hungerhjerte,Karen Fastrup,Bog,voksenmaterialer,biografiske romaner,54597320;46048059;45944239,99122110538505763,4939,1388
Mor Muh leger sommer,Jujja Wieslander,Billedbog,børnematerialer,skønlitteratur,54871570,,4914,1389
Den nat hun forsvandt,Lisa Jewell,Bog,voksenmaterialer,skønlitteratur,62623462,,4913,1390
Fanden tage dig,Niels Frank (f. 1963),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",134294574,99124247923705763,4913,1391
Flunkerne tager til fest,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,51770765,99122943419605763,4911,1392
Den der falder,Michael Larsen (f. 1961),Bog,voksenmaterialer,spænding,47847907,,4909,1393
Turen går til Provence & Sydfrankrig,Frederik Crone,Bog,"alment niveau,voksenmaterialer",frankrig,48030939;53029620;51160142,99122231914105763;99122167569105763,7601,1394
Tidevandet,Matt Brolly,Bog,voksenmaterialer,krimi,61508597;27603432;52887089,,5093,1395
Tarme med charme,Giulia Enders,Bog,"alment niveau,voksenmaterialer",ernæringsfysiologi. fordøjelse. stofskifte,51586301;39392607,99123820321905763;99122734558805763;99122538027705763,5406,1396
Ildlandet,Pascal Engman (f. 1986),Bog,voksenmaterialer,spænding,38846833;24903079;26020247;25500881,,5031,1397
