title,author,type,audience,genre,faust_numbers,isbns,n_loans
Danmarks konger og dronninger,,Bog,"alment niveau,voksenmaterialer",danmarks historie,47181097;25469100;39081768;22175327;07250096;05283302;99123801654605763;99122972302205763,<NA>,1689
Rotte,Troels Gollander,Bog,"folkeskoleniveau,børnematerialer",gnavere,51384474;134968974;25297113,<NA>,1622
Psykologiens veje,Ole Schultz Larsen,Bog,"gymnasieniveau,børnematerialer,voksenmaterialer",psykologi i alm.,46007611;52231663;27489281;99122218809905763;9920683885205762,<NA>,2027
Det dobbelte land,Birgithe Kosovic´,Bog,voksenmaterialer,skønlitteratur,28227108;61752889;29046239;45225399;99122134859305763,<NA>,1560
Dødens kunstner,Chris Carter,Bog,voksenmaterialer,krimi,29950598;50641325,<NA>,1647
1Q84. Bog 2,Haruki Murakami,Bog,voksenmaterialer,magisk realisme,29101787;54862571;51800672,<NA>,1514
Lær at tegne fantasy,Jan Kjær (f. 1971),Bog,"folkeskoleniveau,børnematerialer",tegnekunstens teknik,26765757;51353307;53359914,<NA>,2411
Vægtløs,Alberte Clement Meldal,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",134406607;54944179;21624705,<NA>,1674
Videnskabsteori i samfundsvidenskaberne,,Bog,"fagligt niveau,voksenmaterialer",teori. metodik,50753204;25316592;99122654786605763;99122793815105763;99122508749205763;9920744463405762;1765883;9920583228605762,<NA>,1618
Liverpool,Asker Hedegaard Boye,Bog,"folkeskoleniveau,børnematerialer",boldklubber i alm.,53612237;52596017;38730509;28209770;44802716;45198804;990002901030105766,<NA>,2984
Iqbal Farooq og den lede julestjerne,,Billedbog,børnematerialer,sjove bøger,27463142;54981392,<NA>,1631
Mig og mine følelser,Ina Victoria Haller,Billedbog,børnematerialer,grimasser,134022523;21720771,<NA>,1551
