top10k,isbn,faust_number,title
4580,4580,46496442,rasmus klump sjov paa slottet
4582,4582,53073506,vitello er bagvendt
4583,4583,46724755,stephen hawking
4584,4584,39283689,disneys luca
4585,4585,52017270,fantastiske verdener  byg og konstruer med minecraft
4586,4586,48827764,gurli gris moeder julemanden
4587,4587,48639402,min foerste faktabog om biler
4593,4593,47840414,tre timer
4597,4597,51416317,snoevsen hopper hjemmefra
4598,4598,53073409,vitello napper en kat
4599,4599,48812392,pingo faar hjemve
4601,4601,47472326,bring mig tilbage
4605,4605,38600222,le er en fe
4610,4610,51159675,minecraft
4622,4622,54991037,huset
4623,4623,47112281,hvor jernkorsene gror
4624,4624,39555808,broderistens badass broderier
4626,4626,46441427,stitches
4628,4628,53225519,den tyske pige
4629,4629,48062296,kvinden i moerket
4638,4638,47577993,buret
4640,4640,46174542,fanget i bjoernens kloeer  og andre vilde dyreangreb
4642,4642,46399838,amelia earhart
4645,4645,38433377,hvis du vil have mig
4647,4647,47222923,han kender det som er i moerket
4650,4650,38943472,krigens arv
4653,4653,53009824,haevn
4660,4660,53766765,vitello redder verden
4663,4663,53589375,meyers groen mad
4664,4664,28125925,moerk treenighed
4672,4672,48510906,fra dette oejeblik
4676,4676,52187168,nekos svaerd
4677,4677,25924657,drageherren bind 1
4682,4682,47840635,soevn
4684,4684,61431829,haendelsen
4686,4686,52342252,haeklede klude fra a til oe
4687,4687,47577667,panda
4688,4688,135488941,wimpy kid bind 17
4692,4692,134490489,skye bliver stuntpilot
4704,4704,53071023,aladdin
4708,4708,53508308,sanitoeren
4710,4710,53899501,eventyrbogen
4714,4714,39333368,disneys frost 1 og 2
4716,4716,50503623,emmy  kaere kit din kaereste lugter af fisketis
4721,4721,55155410,truet paa livet
4726,4726,51109325,alle for en
4727,4727,52484979,meldt til politiet
4732,4732,53708927,det stoerste eventyr
4736,4736,50754529,sofia den foerste
4742,4742,53103707,rotten
4746,4746,38934791,krukkekoekkenhaven
4751,4751,22629344,harry potter og de vises sten
4753,4753,52601517,en dyrebar gave
4757,4757,53775993,ea 3a  maa jeg vaere med
4760,4760,52228441,uglen draeber kun om natten
4767,4767,52173787,after del 4
4768,4768,52206634,find motivationen  den kommer ikke af sig selv
4772,4772,46618645,elsker elsker ikke
4773,4773,62226447,5 minutter i godnat
4775,4775,52480175,jeppe scorer hattrick
4778,4778,52087309,laeserne i broken wheel anbefaler
4779,4779,38967789,em 2020
4780,4780,51372751,kolesterolkogebogen
4783,4783,52086949,en mors synd
4786,4786,28664877,det spoeger sigge
4788,4788,54365462,vaiana
4793,4793,46556992,loevernes konge
4794,4794,47647177,en af os draeber
4799,4799,38759582,hyggeaften
4801,4801,51962230,alene i paris
4815,4815,51794737,brudeskibet
4821,4821,50507254,hvor er peter pedal
4825,4825,135229377,efterfoelgeren
4826,4826,53975623,hitman bind 1
4828,4828,54495439,lun
4830,4830,47450357,sammen om sanserne
4833,4833,54342888,mindernes magt
4834,4834,29910189,kys mig nu
4838,4838,61481931,one
4839,4839,53984223,frida kahlo
4845,4845,50917592,k  erotiske noveller af kvinder
4846,4846,48350135,honninghistorier
4853,4853,52924359,mindfulness
4855,4855,47209633,er jeg smuk
4860,4860,51271017,hvor solen graeder
4863,4863,28905173,ensomme hjerters klub
4864,4864,52632897,med kaerlig hilsen
4870,4870,46417771,jeg skal tisse siger nora
4877,4877,24638707,peter pedal i legetoejsbutikken
4884,4884,48192076,my little pony the movie  historien fra filmen  venskabsfestivalen
4886,4886,27355099,boevl med bandagerne
4891,4891,47377838,olaf venter paa foraaret
4892,4892,52879035,hvorfor maend vil have sex og kvinder har brug for kaerlighed
4895,4895,27662471,skovturen
4903,4903,52163927,alma syr en hat
4904,4904,28919379,tor og tim paa nattur
4908,4908,46301293,saadan spiller du fortnite
4911,4911,38242644,fortjaellinger fra blokken
4913,4913,46199758,dengang annie thorne forsvandt
4915,4915,26760453,the secret  hemmeligheden
4916,4916,53310893,det sidste oenske
4918,4918,47435803,dansk kriminalreportage aargang 1974
4923,4923,48866654,gurli gris har foedselsdag
4928,4928,39333279,den hemmelige beundrer
4931,4931,52783178,sund og rask med antiinflammatorisk kost
4935,4935,46413342,de levende og de doede
4941,4941,51318781,sam og sigge og den lange rejse
4947,4947,52261767,rosa er vild med rosa
4949,4949,47363608,pi er en bi
4950,4950,54947763,en ikkegodkendtafbyggetilsynet traehule paa 65 etager og som derfor skal rives ned
4952,4952,39273551,niki topgaard og vennerne  niki og jacob paa kanotur
4956,4956,48709591,filmholdet
4959,4959,48666981,enke i et aar
4961,4961,29551480,jeg skal goere dig saa lykkelig
4962,4962,51288572,eventyrbogen
4972,4972,46952197,toy story 4
4976,4976,38689827,op paa det rigtige toilet
4977,4977,39283727,niki og jacob paa kanotur
4983,4983,53016820,find dory
4984,4984,29990921,41 fortaellinger om folk i faedrelandets historie
4985,4985,24334562,gummitarzan
4990,4990,48426247,biavlerens datter
4992,4992,29331235,rasmus klumps abc
4997,4997,5131499,peter pedal haenger i
5000,5000,53788114,tilgivelse
5001,5001,27285058,peter pedal gaar paa akvarium
5002,5002,29415331,kaerlighed ved foerste hik
5006,5006,53977634,doed paa en varm onsdag
5007,5007,53647448,vaersgo og spis hr struganoff
5009,5009,47230268,peter pan
5017,5017,52785030,at leve
5019,5019,47583047,lad det straale
5021,5021,39384779,mumitrolden og midsommermysteriet
5023,5023,50832600,historien om 
5027,5027,51719476,sunde groenne retter
5032,5032,29681546,din for evigt
5035,5035,54322763,jeg er vred
5039,5039,29653399,naar loeven jager
5041,5041,39378817,52 uger med stroemper
5042,5042,52896614,godnathistorier 2
5044,5044,52610052,traktoren og andre landbrugsmaskiner
5046,5046,54161433,valmuemanden
5048,5048,46770935,tyrannosaurus rex
5050,5050,52669553,ukendte kyster
5052,5052,52086698,eremitten
5053,5053,29158479,svaerdets mester bog 1
5058,5058,38759574,et aegte eventyr
5059,5059,52522234,den franske greve
5064,5064,46966279,dyrenes rekordbog
5066,5066,47780349,gravemaskiner lastbiler og kraner
5073,5073,61875816,frost
5074,5074,39555786,alle tiders boeger vi laeser igen
5075,5075,54690355,brandbilen
5081,5081,29452849,lars paa potte
5089,5089,48086314,tusind stjerner og dig
5094,5094,52321468,50 klassikere
5100,5100,54365578,inderst inde
5107,5107,54241348,ingen returbillet
5108,5108,46395921,byggepladsen vrimlebog
5113,5113,61489274,boldens meget store bog om dinosaurer
5114,5114,53043089,axel elsker biler
5115,5115,38310208,naar isen brister
5121,5121,27251420,blind vej
5123,5123,52685869,iqbal farooq og det groenne julemonster
5124,5124,46618009,isadora moon paa udflugt
5130,5130,53127258,se den lille kattekilling
5132,5132,54157177,rasmus klump i syvsoverland
5139,5139,51857046,prinsesse enhjoerning  storskovens vogter
5141,5141,55114307,den mystiske mr quin
5147,5147,52668654,fisseministeren
5153,5153,39440415,universets beskyttere
5158,5158,22254901,flunkerne er over os
5162,5162,51362241,vildheks bind 6
5163,5163,46459407,dragens offer
5167,5167,53381251,hvor er min potte
5170,5170,38748343,issols fortaelling
5172,5172,39171953,vores kort over kaerligheden
5173,5173,52226236,lola og niko
5180,5180,46304322,hvad vil du virkelig
5182,5182,52785049,haab
5188,5188,46144864,en tot haar
5190,5190,45975002,saa er der serveret hr struganoff
5196,5196,55114242,mals dagbog
5199,5199,61705503,soedt med surdej
5200,5200,54993404,videnskabelig teori og metode
5202,5202,54632916,moede med mode
5204,5204,51340647,ask og mus
5205,5205,53374239,maskiner
5207,5207,51882725,soede sally sukkertop og andre aekle aeventyr 1
5210,5210,62515155,disneys klassiske skatkammer
5218,5218,53515886,krystalskibet
5221,5221,46297458,jeg vil savne dig i morgen
5222,5222,28942494,ellen
5223,5223,51269632,torden over landet
5226,5226,46147693,mohamed salah
5227,5227,62162686,lastbiler og andre ting med hjul
5237,5237,134490535,vovvov og afsted
5238,5238,55098778,den rigtige bog om lastbiler
5243,5243,52210895,den gode dinosaur
5244,5244,47583012,dronning anna
5248,5248,46158059,de udoedelige
5251,5251,46496647,rasmus klump som dykker
5253,5253,48622496,foelg sporene  foelg den enhjoerning
5254,5254,48539599,mahatma gandhi
5257,5257,29890722,havet i theresienstadt
5258,5258,46847148,den store antiinflammatoriske kostguide
5265,5265,53574130,max paa maal
5266,5266,46595106,peter pan
5267,5267,48077463,5 minutter i godnat
5268,5268,46572289,metropolis
5269,5269,51353366,det norske job
5270,5270,54961863,ikke der
5271,5271,47312396,i stedet for skaeldud
5272,5272,53319726,soeren kierkegaard til hverdagsbrug
5275,5275,38239422,disneys sjov med anders
5277,5277,53962998,gamer
5281,5281,52021316,max ser en myg
5283,5283,46381092,den kinesiske forlovelse
5284,5284,47582806,et uventet venskab
5285,5285,48676227,roedbyputtgarden
5286,5286,54950632,disneys de utrolige
5289,5289,50689980,og saadan blev det
5291,5291,46566785,bjoernen
5295,5295,38728776,esport
5296,5296,50756343,alle for en
5298,5298,46543459,hele vejen til dig
5304,5304,38888064,avengers
5307,5307,28609590,er det sandt
5309,5309,54107781,rosa bliver storesoester
5310,5310,29567301,mig foer dig
5312,5312,54700393,kasper og sofie paa tur
5320,5320,38332546,kaerlighed
5322,5322,134143126,gurli gris kriblekrableskovtur
5323,5323,53977359,den stoerste kaerlighed
5329,5329,53307582,my til bal
5330,5330,50851931,foerste offer
5331,5331,27702988,turen gaar til fyn  oehavet
5332,5332,48443923,hercule poirots jul
5333,5333,48254896,den mandige elg  elg faar venner
5334,5334,51765966,viola og veninderne
5336,5336,39395053,en plus en
5337,5337,29782334,i gudindens haand
5338,5338,38621238,hvad oejet ser
5339,5339,61411542,to mod en
5340,5340,54076118,grumlingen
5342,5342,47640628,vilde vittigheder
5343,5343,135372854,kemi for begyndere
5344,5344,54985185,det lykkelige arabien
5345,5345,29974411,kom igen sigge
5347,5347,46257065,rovdyret
5348,5348,51166582,vitello ridser en bil
5349,5349,53071015,rapunzel
5351,5351,135163716,kragefaelden
5354,5354,54740980,haeklet nordisk julepynt
5357,5357,51355466,aakandesoeen
5358,5358,52445868,laerlingen
5359,5359,51040546,ella skal i boernehave
5360,5360,53559972,pi og en bi
5361,5361,51668383,hulemanden
5364,5364,48365841,plantebaseret familiemad
5365,5365,48828396,gurli gris faar besoeg af laegen
5366,5366,135195774,mindernes vej
5367,5367,38285866,den barske sandhed
5368,5368,52504880,alma i japan
5369,5369,52504112,dna
5370,5370,53576788,skildpadder hele vejen ned
5371,5371,48906915,de tre principper
5372,5372,53970214,villads fra valby laaner en baad
5373,5373,45965031,stenfjaes gaar igen
5374,5374,46476263,det stille hjoerne
5375,5375,48711707,messi
5376,5376,28694156,mere feminin strik
5377,5377,46319702,hitman 2
5378,5378,54937245,fremkaldt
5379,5379,52462401,alexander bliver vred
5380,5380,61664491,flugtveje
5381,5381,52410207,mere om os boern i bulderby
5382,5382,29431132,rasmus klump og gemmedyrene
5384,5384,27084842,paa sjov med flunkerne
5385,5385,46471385,kroelle  puha  den forbistrede pingvinflyvning
5386,5386,48741878,frags og fodbold
5387,5387,50867544,peter plys
5389,5389,51873416,laer at haekle elsk at haekle
5392,5392,26658306,willi har foedselsdag
5393,5393,53966292,droemmevaever
5395,5395,38848852,broderskabet  tempelridderne
5396,5396,135873942,karthago
5399,5399,54480563,lykkelige mennesker laeser og drikker kaffe
5400,5400,46239083,111 steder paa fyn som du skal se
5401,5401,46835484,mitfordmordene 2 bog
5405,5405,39263033,den anden bennet soester
5406,5406,26673461,sam og sigge
5407,5407,48811663,filmholdet
5408,5408,53917127,lasseleif og den virkelig vaemmelige makrelmad
5409,5409,50613089,se og find idefix
5412,5412,52530466,i kongens gaard
5413,5413,53597181,engle  daemoner
5415,5415,54131747,olivia og anton i svoemmehallen
5416,5416,48866689,gurli gris  der var engang 
5417,5417,62884789,den spanske kaerlighedsaffaere
5419,5419,47537126,omgivet af psykopater
5420,5420,52175550,poul og far paa fisketur
5422,5422,26701139,flagermusmanden
5431,5431,53228917,komodovaran
5434,5434,51745086,kvinders lyst
5435,5435,53221440,kanin i et taarn
5437,5437,62410515,partycrasheren
5438,5438,28234430,peter pedal planter et trae
5439,5439,53577121,minecraft mobikon
5440,5440,46251423,stjernerne synger 1 bind
5441,5441,27409946,mor muh og krages jul
5448,5448,52801478,toer du holde kaeledrager
5451,5451,48682057,guide til minecraft dungeons
5455,5455,52087414,skyggernes bog
5456,5456,29253218,den braendende kyst
5461,5461,54679343,spirituel
5463,5463,46233042,min bog om kroppen fra top til taa
5464,5464,47182972,danmarkshistorier for boern 1
5466,5466,27920624,peter pedal i sneen
5468,5468,53967272,faelden
5469,5469,28102852,mit eller dit
5473,5473,48748961,liv andre har levet
5474,5474,46999827,de stoerste landskampe
5477,5477,20915366,nissemaskinen
5482,5482,29304904,paereperkerdansk
5484,5484,48254853,den mandige elg  elg skriver en bog
5486,5486,51750829,vi var loegnere
5489,5489,54422636,ambulance
5491,5491,52683297,sam og sigge og den foerste jul
5493,5493,46206185,vildfoert
5494,5494,51393155,signes hjemkomst
5495,5495,52257662,glasklokken
5496,5496,51304195,opskrifter og smaa glimt af hverdagslykke
5497,5497,38887971,paa dybt sand
5498,5498,29890625,din kompetente familie
5499,5499,47583039,elsas foedselsdag
5501,5501,46545699,isadora moon holder foedselsdag
5503,5503,48365906,fc barcelona
5505,5505,38954318,sort sommer
5506,5506,27347991,den store fupz
5507,5507,53366333,spioners arv
5512,5512,62845953,det er et fucking eventyr
5514,5514,51340663,tor er sej
5516,5516,62955627,jeg anerkender ikke laengere jeres autoritet
5517,5517,47753279,den sidste restaurant i universet
5521,5521,52430070,haeklede klude
5522,5522,28062257,i en toer tid
5524,5524,54261128,et rige af vinger og kaos
5526,5526,51363132,naar solen staar hoejest
5527,5527,53163599,maend uden kvinder
5528,5528,52500184,alma er vild med musik
5529,5529,53074359,hvem er det der banker
5530,5530,48063039,kulmanden
5531,5531,38735802,da jeg moedte dig
5532,5532,52045754,iqbal farooq i indien
5534,5534,29020469,spring hoejt sigge
5535,5535,134510315,en engel i warszawa
5537,5537,54116217,disneys den grimme aelling
5539,5539,54260318,store gravko og lille gravko
5540,5540,53061869,djaevelens vaerk
5541,5541,48741126,laer foelelserne at kende med mumi og lille my
5545,5545,54871996,harry potter og foenixordenen
5547,5547,52632900,det sidste oenske
5550,5550,51945395,en forfaerdelig mand
5551,5551,52922453,saelmagi
5552,5552,48884865,battle royale  ryg mod ryg
5553,5553,38888056,universets maegtigste helte
5556,5556,50784991,dybt at falde
5557,5557,50668436,de tre bukke bruse i badeland
5560,5560,55130442,den hundred og etaarige der taenkte at han taenkte for meget
5563,5563,47045592,karen klarbaeks babybog
5564,5564,55116784,sigurd fortaeller hc andersens eventyr bind 2
5569,5569,54116209,disney prinsesser
5579,5579,54062451,den utrolige men sande historie om dinosaurerne
5581,5581,46540484,isadora moon gaar til ballet
5583,5583,28968973,iqbal farooq paa bornholm
5585,5585,38990136,nordisk socialisme
5589,5589,53472540,den svovlgule himmel
5590,5590,28719183,a b kom og c
5591,5591,52853516,vaerd at vide om dinosaurer
5592,5592,53917011,lasseleif og mormors nejhat
5593,5593,46503988,med kaerlighed til strik
5597,5597,48876862,kronprinsesse mary fortaeller til anne woldenraethinge
5598,5598,47679982,min kaeletrex
5599,5599,52489253,fantastiske bygninger  byg og konstruer med minecraft
5601,5601,54547269,dragens offer
5602,5602,48144136,5 minutter i paaske
5606,5606,51229460,tiberius tudefjaes og skridelvis
5607,5607,53437982,tilbage til mandalay
5609,5609,47583179,troldeeventyret
5610,5610,52410827,moderne genbrug
5612,5612,45930041,kommissaeren der havde en fortid
5614,5614,28698976,tor paa bas
5616,5616,61721924,fantus  godnat fantus
5617,5617,53429165,mumi leder efter mumrikken
5618,5618,52253853,fifty shades of grey fortalt af christian
5619,5619,52616336,tit er jeg glad
5620,5620,46516583,snesoestre  krystalrosen
5623,5623,48432085,himlens helte
5624,5624,51735714,anemone  hemmeligheder og hvide loegne
5625,5625,53408028,voksevaerk
5626,5626,46409183,koereklar
5631,5631,25290054,bo saa en ko
5632,5632,52869242,alt om at vaere pige  mens alle andre kysser
5633,5633,53245943,historien om rummet
5635,5635,48718078,rosa hos tandlaegen
5636,5636,52401755,det litteraere apotek
5637,5637,54769571,nyt foraar
5638,5638,29029156,det tredje tegn
5639,5639,53504175,lotte vil ikke i bad
5640,5640,52128935,det hun glemte
5643,5643,46232828,dragens offer
5645,5645,48718124,ad hvor ulaekkert
5646,5646,51416287,snoevsen og snoevsine
5649,5649,47582822,broelets kraft
5650,5650,27662439,babysitter
5651,5651,47754216,det tomme hus
5652,5652,47468779,lauras foerste trafikbog
5654,5654,46365372,1001 ting at finde  i prinsesseland
5655,5655,51435044,lotte paa potte
5659,5659,47364698,disneys vilde rolf
5661,5661,47785294,elefant
5664,5664,38755129,kampklar
5668,5668,53865666,vildheks 5
5669,5669,28838654,kaj og andrea rejser ud i verden
5670,5670,52048303,frost
5672,5672,53731783,spejle og skygger
5674,5674,27426182,laer klokken med laura
5677,5677,51230892,fra hjertet
5678,5678,54216564,babymad
5679,5679,52820464,mere groent
5680,5680,54233906,disneys rapunzel
5682,5682,27183689,kick off
5683,5683,52937248,calendar girl 4
5686,5686,46257014,haevneren
5689,5689,39044994,de kompetente
5694,5694,38718444,tiger
5695,5695,29144478,all you knit is love
5696,5696,53016855,en modig begyndelse
5701,5701,28971214,lili boerster taender
5702,5702,51339762,putin
5703,5703,54189192,fi en fe
5705,5705,61368418,churchill  statsmand og myte
5708,5708,48082297,uortodoks
5709,5709,48866662,gurli gris  havfruefesten
5710,5710,39510022,karen begynder naesten i skole
5711,5711,38949489,hvad fanden er et bandeord
5713,5713,48692273,mistaenkt
5715,5715,50585875,tiberius tudefjaes gaar ikke med piger
5717,5717,47430518,lasse og traktoren
5720,5720,51591054,tornerose
5721,5721,52063523,den faele froe
5723,5723,62282088,mors dag
5725,5725,47346207,alt om fartoejer
5726,5726,134294418,vovserne redder venskabsdagen
5728,5728,53597424,havets doetre
5729,5729,62660929,otto og louise
5730,5730,52183731,den store antiinflammatoriske kostguide
5731,5731,53113877,bff  vild med vilde
5734,5734,47052432,strik til dig selv
5735,5735,48616801,roedt hjerte blaat blod
5737,5737,39425823,ved babylons floder
5741,5741,54979193,kaerester
5747,5747,39546191,pige a
5750,5750,48663605,det er de danske som flygter
5751,5751,29566011,sidste nat i twisted river
5755,5755,53335829,haevn
5756,5756,53526071,supercharlie og bamsetyven
5757,5757,53501680,den blaa traad
5759,5759,51743083,50 cabrioleter
5761,5761,47252091,gravpladsen
5763,5763,47706742,piratbarn har ikke laengere brug for sin sut
5766,5766,52263344,drengen som var verdens bedste fodboldspiller
5767,5767,61583599,vand til blomster
5768,5768,28176368,svinehunde
5770,5770,53381278,laura sover hos julie
5775,5775,47821142,maa jeg komme med dig hjem
5776,5776,26912245,den braendende borg
5777,5777,47717175,kan ham der den hoeje ikke lige saette sig ned
5778,5778,48622402,buldretrolden
5782,5782,53574076,gurli faar en gris
5787,5787,62947527,lydbogen der ikke ville slutte del 2
5790,5790,38759507,1794
5792,5792,47286026,alting sker paa en gang
5793,5793,53683541,en anden gren
5794,5794,53017347,glimmerfuglen
5795,5795,51197941,bye bye blackbird
5796,5796,51224523,nej jeg vil ej sagde krokodillebarnet
5797,5797,54660642,morderen i skriftestolen
5799,5799,27549578,maa jeg kigge i din ble
5801,5801,46991486,heste
5802,5802,62475897,saadan dyrker man sin egen enhjoerning
5804,5804,46248996,doeden paa museet
5806,5806,54516428,angreb fra himlen
5809,5809,48874134,styrk dit immunforsvar
5810,5810,38526952,hurlumhej og hoejt humoer
5812,5812,54256663,ea 3a  stop nu
5815,5815,29834458,foedt ved midnat
5818,5818,29697469,mi og mo i det dybe hav
5819,5819,27868673,boernene
5820,5820,28229976,turen gaar til syd og soenderjylland
5823,5823,46263073,dinosaurleksikon for de yngste
5827,5827,6293298,tante andante
5836,5836,48913075,7 nye maader
5840,5840,52207398,kunsten at handle klogt
5847,5847,52762758,fruen paa mellyn
5850,5850,52491770,droemmetyderens doed
5851,5851,51162617,de tre bukke bruse
5854,5854,38633716,juleklar
5855,5855,53071872,vitello skal have en papfar
5858,5858,46294815,snaren
5859,5859,52874122,moe er vild med jul
5860,5860,47206146,oppe i gardinerne og andre sjove rim for de mindste
5862,5862,51900715,smukkejan
5869,5869,62038411,frie oplevelser
5875,5875,48289878,elg skriver en bog
5880,5880,62462906,tatovoeren
5883,5883,48289835,skaebnens kys
5884,5884,53502180,den sidste gave
5886,5886,54117744,de
5893,5893,52705622,pokemon go
5894,5894,62099305,hvor er babysmoelf
5896,5896,52969670,droemmestenen
5898,5898,47922232,dybt at falde
5899,5899,62744146,klovn 2
5900,5900,48685404,mindernes laengsel
5902,5902,52758912,for evigt og altid
5903,5903,46828267,det taler vi ikke om
5906,5906,51326938,den farveloese tsukuru tazakis pilgrimsaar
5907,5907,52851807,alle tre smider sutten
5908,5908,46489659,22 ture i koebenhavn som du skal paa
5912,5912,48330657,trex
5913,5913,51384423,far og hasan i bilka
5915,5915,38513613,1984
5917,5917,52071682,ser du maanen daniel
5919,5919,54631774,jeg elsker mig
5925,5925,46474619,stenfjaes siger stop
5928,5928,52398452,gry faar en pony
5934,5934,27702961,turen gaar til nordjylland
5937,5937,54081243,en duft af appelsin
5942,5942,51317114,hans og grete
5946,5946,47754259,sidst paa sommeren
5948,5948,28392893,skaeg med bogstaver
5949,5949,53016944,vaiana
5955,5955,48051774,karate kid
5958,5958,46505921,rasmus klump i pingonesien
5960,5960,39270579,ferieklar
5961,5961,29389845,hvem slukkede lyset
5963,5963,52989329,en so paa en so
5964,5964,53793754,liva faar en grim bror
5969,5969,48539637,jane goodall
5970,5970,50754316,askepot
5971,5971,48358209,den plantebaserede kost
5973,5973,53983626,heksedrengen
5976,5976,29405980,hvor er den lille enhjoerning
5981,5981,39091925,pigen paa broen
5982,5982,54998139,alting har en ende
5983,5983,62374071,skoleklar
5984,5984,61867767,express opstrammer
5985,5985,61698825,det nye rige
5987,5987,52978742,da felix blev stor
5990,5990,61701117,bumles helt vilde historier
5991,5991,52410215,vi har det dejligt i bulderby
5992,5992,29512396,pigen i satans mose
5993,5993,52616522,kanin paa tur
5995,5995,52338360,rovfuglene
5996,5996,55101108,en skoenne dag
5997,5997,47442435,saa gaa dog fra ham
5999,5999,48811361,5 minutter i godnat
6002,6002,53772617,nini og tarok
6009,6009,55107211,sangkuffert  haeklerier til boernesange
6015,6015,53770436,karmaboy  operation hundepoelse
6020,6020,39160226,en haederlig mand
6021,6021,48263143,mine foerste godnathistorier
6029,6029,28438125,ulven
6035,6035,52286816,det forsvundne barn
6039,6039,38873962,jeg hedder folkvi
6043,6043,53791336,den fuldkomne kaerlighed
6044,6044,54810504,lotte keder sig
6045,6045,39229714,dogzombies styrer lidt endnu
6047,6047,54243413,puslevenner
6048,6048,55153361,op og naa
6049,6049,52993636,ligblomsten
6054,6054,52613612,den inderste fare bind 1
6058,6058,46702239,fancy nancy clancy  mine fineste ting
6061,6061,48616887,sommeren 1969
6072,6072,52021758,dybt fald
6075,6075,46747836,soeg og find med plet  masser af farver
6080,6080,45973174,mig og min femor
6082,6082,51725875,jeg vil ogsaa gaa i skole
6084,6084,52086701,magtspillet
6086,6086,50754472,loevernes konge
6088,6088,134784911,gurli gris paa rumrejse  kig og find
6089,6089,54686064,selv de vaerste monstre boerster taender
6093,6093,52911915,minecraft
6096,6096,38718819,peter pedal i de sjove labyrinter
6097,6097,48922015,gurli gris  der var engang
6102,6102,54862059,tigerens bytte
6113,6113,135758795,aeroe manifestet
6116,6116,26492947,margret og ha reys glaedelig jul peter pedal
6121,6121,46474716,de tre smaa grise
6123,6123,29253196,magtens svaerd
6127,6127,46542991,foerste biler
6128,6128,54627726,jens
6131,6131,48241093,soldier blue
6133,6133,48503039,karen klarbaeks servietsamling 2
6134,6134,47148901,margrethe  en lille dronning
6141,6141,51829115,en ond cirkel
6143,6143,48827527,nazisternes mysterier
6147,6147,135593885,kvinden paa isen
6149,6149,38747363,tiger
6151,6151,46023072,ea 3a  hvem er du
6152,6152,47770556,askepot
6154,6154,50978559,slut put finale
6157,6157,53665640,de er to
6160,6160,53916996,lasseleif og de hemmelige kaeledyr
6163,6163,61353275,fantus  her er fantus
6171,6171,47811406,en slange i dybet
6174,6174,54342969,verdens grimmeste pige
6177,6177,47582725,mission hvalpepasning
6181,6181,51704304,rosa ser film
6186,6186,39010755,dronningen laenge leve
6191,6191,26332451,en rigtig ridder
6192,6192,53563325,peter pedal leger i sneen
6193,6193,46233077,kom med ud i rummet
6194,6194,29409358,mord for oeje
6195,6195,62501057,flugten fra ghettoen
6196,6196,54989091,elmer  kig og find
6198,6198,52636124,isadora moon paa camping
6203,6203,46399803,simone de beauvoir
6204,6204,46384687,vegetarisk hverdag
6212,6212,134490519,vovserne holder fest
6213,6213,27463541,aeggene
6218,6218,53731767,sommer i amerika
6219,6219,39116065,kampen mod de onde
6221,6221,62106948,hvor er altmuligsmoelf
6223,6223,53647804,noah i 0a
6224,6224,48573177,ellas nattelys
6225,6225,48254926,den mandige elg  elg flytter hjemmefra
6226,6226,54046529,k knit
6227,6227,51284798,forbryder
6232,6232,53071945,vitello oensker sig en hund
6237,6237,39429977,magisk haekling
6250,6250,50856178,prinsessen paa taerten
6252,6252,29949832,den glemte grav
6255,6255,53326404,lille bille stor giraf
6258,6258,48729924,boerneavisens kogebagebog
6261,6261,54175043,alvina  skyggesoester
6266,6266,51618335,bo i flyet
6268,6268,39148188,superheltene gaar til angreb
6269,6269,47227216,askepot
6270,6270,62756144,dem som haevner
6271,6271,47254868,se en hund
6273,6273,47112346,kongernes konge
6278,6278,52523133,elsker mig for evigt
6284,6284,46213327,den sporloese
6292,6292,46497724,far til fire i solen
6295,6295,48180639,politi
6302,6302,52600618,tyskland
6303,6303,29894639,milliardaerdrengen
6306,6306,52338336,monsun
6308,6308,62098341,loeft en flap  til hovedkvarteret
6310,6310,26658438,willi har skoldkopper
6312,6312,48952119,fifa esport
6316,6316,54365586,frost
6318,6318,52034051,farlige dyr
6320,6320,52778158,a good friend
6321,6321,47763304,den haengte mand
6323,6323,53700853,isadora moon laver ballade
6335,6335,48280781,dukken
6342,6342,48896219,far til fire  vikingerne
6345,6345,53701078,min store bog om biler og andre ting med fart paa
6349,6349,54181744,harry potter
6351,6351,53576974,enhjoerningens magi
6353,6353,52257719,zootropolis
6358,6358,39362759,sne i april
6359,6359,53429114,olivia og anton paa skattejagt
6360,6360,52978815,isadora moon holder foedselsdag
6364,6364,50754626,101 dalmatinere
6370,6370,53071740,karen klarbaeks klude  og gaestehaandklaeder
6373,6373,54134606,min muse
6376,6376,53624723,tillykke peter pedal
6377,6377,47708826,en af os draeber
6379,6379,62744219,klovn
6382,6382,26658411,willi og de nye sko
6386,6386,51470168,milles pony
6387,6387,47820871,my little pony  12 smaa historier
6402,6402,54531907,sammenbruddet
6403,6403,54319320,simon skal i nulte
6405,6405,61959076,encanto
6407,6407,46724623,karen klarbaeks haeklede klude
6408,6408,50618595,evas sidste nat
6410,6410,52820480,noma er kok
6411,6411,27462928,rent guld i posen
6412,6412,50703940,i skjul
6414,6414,53203736,rosa skal ud og flyve
6417,6417,48652581,sur for en sikkerheds skyld
6418,6418,48024017,keto bagning
6424,6424,47387914,mumitrolden blaeser vaek
6436,6436,54039174,sokkebogen
6438,6438,47227194,alle tre paa udflugt med boernehaven aerten
6441,6441,48788297,yes det er fredag
6444,6444,39044854,ketoflex 331
6445,6445,38411985,den lille havfrue
6446,6446,45962601,jungledyret hugo  den store filmhelt
6447,6447,62982063,stoerre end os to
6451,6451,48225144,hvem er jeg
6459,6459,29521263,bamses allergoeste gave
6462,6462,27523943,godmorgenhistorier
6466,6466,27463525,skibet
